# confirmed SARS-CoV-2 infections in TN, Tennesseean reported
Date	Cases
2020-05-22	19394
2020-05-21	18961
2020-05-19	18378
2020-05-18	18002
2020-05-16	17288
2020-05-15	16970
2020-05-14	16699
2020-05-13	16370
2020-05-11	15544
2020-05-10	14985
2020-05-09	14768
2020-05-08	14441
2020-05-07	14096
2020-05-06	13938
2020-05-05	13624
2020-05-04	13503
2020-05-03	13177
2020-05-02	12661
2020-05-01	11891
2020-04-30	10735
2020-04-29	10366
2020-04-28	10052
2020-04-27	9918
2020-04-26	9667
2020-04-25	9189
2020-04-24	8726
2020-04-23	8266
2020-04-22	7842
2020-04-21	7394
2020-04-20	7238
2020-04-19	7070
2020-04-18	6762
2020-04-17	6589
2020-04-16	6262
2020-04-14	6079
2020-04-13	5610
2020-04-12	5308
2020-04-11	5114
2020-04-09	4634
2020-04-08	4362
2020-04-07	4138
2020-04-06	3802
2020-04-05	3633
2020-04-04	3321
2020-04-03	3067
2020-04-02	2845
2020-04-01	2683
2020-03-31	2239
2020-03-30	1834
2020-03-29	1537
2020-03-28	1373
2020-03-27	1203
2020-03-26	957
2020-03-25	784
